Rank,ID,Player,Team,Conf,Seed,GP,MPG,PPG,$,R1 Pts,R1 PPG,R1 GP,R2 Pts,R2 PPG,R2 GP,CF Pts,CF PPG,CF GP,Finals Pts,Finals PPG,Finals GP,Total Pts,Total GP
1,4278073,Shai Gilgeous-Alexander,OKC,W,1,975,33.5,31.6,121,153,31.1,4.9,151.9,30.8,4.9,154.8,30,5.2,104.5,30.2,3.5,564.2,18.5
2,5104157,Victor Wembanyama,SA,W,2,930,29.2,24.6,89,138.3,27.6,5,144.6,26.9,5.4,111.2,26.3,4.2,46.2,26.6,1.7,440.4,16.4
3,3917376,Jaylen Brown,BOS,E,2,1005,34.4,28.8,88,137.8,28.2,4.9,138.9,27.5,5,98.2,27.5,3.6,60.1,26.8,2.2,435,15.7
4,3908809,Donovan Mitchell,CLE,E,4,1020,33.4,27.7,76,154.5,28.3,5.5,137.7,27.6,5,68.8,27.6,2.5,29.1,27.2,1.1,390,14
5,4065648,Jayson Tatum,BOS,E,2,180,31.5,21.3,73,119.4,23.2,5.1,120.5,22.7,5.3,84.8,22.6,3.8,52.1,22.1,2.4,376.8,16.6
6,4432166,Cade Cunningham,DET,E,1,915,34.4,24.5,66,128.2,24.5,5.2,119.4,24,5,72.8,23.7,3.1,31.3,23.4,1.3,351.7,14.6
7,3934672,Jalen Brunson,NY,E,3,1065,35.2,26.1,59,134.6,25,5.4,123.1,24.1,5.1,46.8,24.2,1.9,21.2,24.1,0.9,325.7,13.3
8,4593803,Jalen Williams,OKC,W,1,465,28.4,17.1,58,87.2,17.7,4.9,86.8,17.6,4.9,88.1,17.1,5.2,59.5,17.2,3.5,321.6,18.5
9,4433255,Chet Holmgren,OKC,W,1,990,29.1,16.9,58,86.4,17.5,4.9,85.2,17.3,4.9,87.6,17,5.2,59.3,17.1,3.5,318.5,18.5
10,4066259,De'Aaron Fox,SA,W,2,1005,30.9,18.4,54,95.2,19,5,99.5,18.5,5.4,76.8,18.1,4.2,31.7,18.2,1.7,303.1,16.4
11,3945274,Luka Doncic,LAL,W,4,960,35.8,33.5,53,168,30.4,5.5,123.8,28.6,4.3,9.5,28.7,0.3,1,,,302.2,10.2
12,4433621,Jalen Duren,DET,E,1,990,28.3,19.5,52,111.4,20.7,5.4,99.5,20,5,60.9,19.8,3.1,26.2,19.6,1.3,298,14.8
13,3112335,Nikola Jokic,DEN,W,3,915,34.9,27.7,51,147.8,25.7,5.7,100.3,25.3,4,35,25,1.4,9.8,25.5,0.4,292.9,11.5
14,3136195,Karl-Anthony Towns,NY,E,3,1095,30.9,20,47,114.4,21.2,5.4,104.3,20.4,5.1,40,20.7,1.9,17.8,20.2,0.9,276.6,13.3
15,3078576,Derrick White,BOS,E,2,1080,34.3,16.8,44,84,16.3,5.1,84.9,16,5.3,60,16,3.8,36.9,15.7,2.4,265.7,16.6
